,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,1,CK,1561618410,73,-21.21,-159.78,73.4,3.36
1,Tuktoyaktuk,100,CA,1561618410,89,69.44,-133.03,34.97,9.08
2,Puerto Ayora,0,EC,1561618410,86,-0.74,-90.35,72.41,11.14
3,Saraland,1,US,1561618411,88,30.82,-88.07,82.4,4.65
4,Aden,87,YE,1561618162,55,12.79,45.03,93.29,14.38
5,Port Moresby,40,PG,1561618411,79,-9.47,147.16,84.2,11.41
6,Yumen,83,CN,1561618412,27,40.29,97.04,77.09,17.87
7,Bredasdorp,16,ZA,1561618412,93,-34.53,20.04,46.0,1.12
8,Saskylakh,39,RU,1561618412,34,71.97,114.09,61.61,14.72
9,Cape Town,31,ZA,1561618131,100,-33.93,18.42,63.0,2.24
10,Makakilo City,75,US,1561618413,100,21.35,-158.09,80.01,14.94
11,Saint George,20,GR,1561618413,40,39.45,22.34,86.0,5.82
12,Trelew,0,AR,1561618415,60,-43.25,-65.31,44.15,18.01
13,Dumka,87,IN,1561618415,36,24.27,87.25,100.31,11.1
14,Iranshahr,0,IR,1561618415,24,27.21,60.69,100.4,4.7
15,Bluff,66,AU,1561618416,59,-23.58,149.07,72.05,17.52
16,Oistins,40,BB,1561618416,74,13.07,-59.53,80.6,21.92
17,Kasongo-Lunda,4,CD,1561618417,61,-6.48,16.82,63.77,1.88
18,Busselton,41,AU,1561618375,81,-33.64,115.35,55.99,28.48
19,Sabha,13,LY,1561618417,36,27.03,14.43,83.21,10.0
20,Esperance,40,AU,1561618418,51,-33.86,121.89,62.6,24.16
21,Ushuaia,90,AR,1561618418,92,-54.81,-68.31,30.2,23.04
22,Qaanaaq,0,GL,1561618419,72,77.48,-69.36,32.09,1.61
23,Kapaa,40,US,1561618419,88,22.08,-159.32,78.8,8.05
24,Kudahuvadhoo,87,MV,1561618419,72,2.67,72.89,83.21,3.58
25,Milkovo,0,BG,1561618420,54,41.53,24.68,84.2,6.93
26,Boa Vista,40,BR,1561618122,78,2.82,-60.67,78.8,9.17
27,Mataura,43,NZ,1561618421,88,-46.19,168.86,51.01,4.0
