,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mitsamiouli,0,KM,1571041957,76,-11.38,43.28,78.62,6.58
1,Barrow,97,AR,1571041959,71,-38.31,-60.23,42.55,4.74
2,Pajapan,49,MX,1571041960,74,18.26,-94.69,82.45,8.0
3,Saskylakh,81,RU,1571041962,92,71.97,114.09,17.91,8.78
4,Albany,1,US,1571041964,81,42.65,-73.75,46.0,3.22
5,Rikitea,100,PF,1571041965,79,-23.12,-134.97,72.21,14.44
6,San Quintin,100,PH,1571041967,82,17.54,120.52,79.74,5.3
7,Jamestown,0,AU,1571041968,75,-33.21,138.6,55.27,7.42
8,Hilo,75,US,1571041970,83,19.71,-155.08,75.2,6.93
9,Punta Arenas,75,CL,1571041971,80,-53.16,-70.91,41.0,17.22
10,Guerrero Negro,3,MX,1571041972,78,27.97,-114.04,65.05,11.59
11,Tasiilaq,100,GL,1571041973,55,65.61,-37.64,37.4,11.41
12,Nikolskoye,90,RU,1571041975,87,59.7,30.79,42.8,6.71
13,Tunduma,0,ZM,1571041976,29,-9.31,32.77,84.96,10.6
14,Kapaa,90,US,1571041977,78,22.08,-159.32,80.6,16.11
15,Faanui,7,PF,1571041978,79,-16.48,-151.75,76.48,17.96
16,Victoria,75,BN,1571041980,66,5.28,115.24,87.8,4.7
17,Ulaanbaatar,0,MN,1571041981,16,47.92,106.92,46.4,6.71
18,Vaini,40,IN,1571041982,62,15.34,74.49,84.2,6.93
19,Aden,32,YE,1571041984,40,12.79,45.03,91.02,13.97
20,Kinkala,75,CG,1571041985,94,-4.35,14.75,71.6,5.82
21,Mount Isa,81,AU,1571041986,8,-20.73,139.49,100.4,8.05
22,Saint-Philippe,20,CA,1571041988,70,45.36,-73.48,53.01,5.82
23,Manokwari,100,ID,1571041989,85,-0.87,134.08,74.41,1.72
24,Champerico,85,MX,1571041991,97,16.38,-93.6,66.85,2.61
25,Bredasdorp,0,ZA,1571041992,53,-34.53,20.04,71.6,23.04
26,Peruibe,0,BR,1571041993,81,-24.32,-47.0,73.92,12.48
27,Zapolyarnyy,40,RU,1571041994,79,69.43,30.82,33.8,4.7
28,Tigil,100,RU,1571041996,81,57.8,158.67,32.02,18.79
29,Bathsheba,20,BB,1571041997,69,13.22,-59.52,82.4,13.87
30,Charters Towers,0,AU,1571041998,58,-20.07,146.27,73.69,13.38
31,Pevek,100,RU,1571041999,74,69.7,170.27,32.49,18.78
32,Beringovskiy,100,RU,1571042001,97,63.05,179.32,38.08,8.63
33,Christchurch,100,NZ,1571042002,93,-43.53,172.64,53.01,13.87
34,Ushuaia,100,AR,1571042003,60,-54.81,-68.31,41.0,11.41
35,Saint-Georges,12,CA,1571042006,82,46.12,-70.67,37.0,4.07
36,Port Alfred,0,ZA,1571042007,78,-33.59,26.89,69.01,11.01
37,Atuona,0,PF,1571042008,76,-9.8,-139.03,78.85,14.84
38,Hobart,75,AU,1571042009,72,-42.88,147.33,59.0,11.41
39,Paracuru,40,BR,1571042011,88,-3.41,-39.03,77.0,9.17
40,Xuanhua,0,CN,1571042012,21,40.61,115.04,45.45,2.56
41,Mahajanga,20,MG,1571042013,36,-15.72,46.32,93.2,8.05
42,San Cristobal,100,HN,1571042014,96,14.68,-86.92,66.07,1.52
43,Campo Formoso,35,BR,1571042016,91,-10.51,-40.32,61.93,12.07
44,Zhangye,77,CN,1571042017,26,38.94,100.46,57.52,6.97
45,Bluff,0,AU,1571042018,59,-23.58,149.07,75.76,18.5
46,Upernavik,0,GL,1571042020,48,72.79,-56.15,21.27,12.37
47,Bethel,1,US,1571042021,86,60.79,-161.76,30.2,6.93
48,Surin,20,TH,1571042022,70,14.88,103.49,91.0,8.05
49,Georgetown,40,GY,1571042024,100,6.8,-58.16,73.4,2.24
50,Gibara,20,CU,1571042025,88,21.11,-76.13,77.0,8.05
51,Aguimes,40,ES,1571042026,73,27.91,-15.45,71.6,18.34
52,Juba,90,EE,1571042028,93,57.82,26.93,46.99,9.17
53,Cabo San Lucas,83,MX,1571042029,91,22.89,-109.91,80.01,4.0
54,Santa Cruz,49,BR,1571042030,86,-6.22,-36.02,71.56,9.57
55,Coihaique,0,CL,1571042032,68,-45.58,-72.07,30.2,2.24
56,Harnosand,100,SE,1571042033,83,62.63,17.94,43.0,10.29
57,Avarua,76,CK,1571042034,73,-21.21,-159.78,71.6,5.82
58,Yellowknife,90,CA,1571042036,68,62.45,-114.38,30.2,6.93
59,Tomatlan,4,MX,1571042037,97,19.93,-105.25,68.43,2.68
60,Ust-Ilimsk,100,RU,1571042038,88,57.96,102.73,35.62,3.28
61,Te Anau,96,NZ,1571042040,90,-45.41,167.72,45.99,2.83
62,Avera,1,US,1571042041,100,33.19,-82.53,68.0,3.36
63,Henties Bay,57,NA,1571042042,87,-22.12,14.28,63.0,5.99
64,Dymer,0,UA,1571042044,39,50.78,30.31,70.0,4.47
65,Mataura,100,NZ,1571042045,89,-46.19,168.86,52.0,1.01
66,Suamico,1,US,1571042046,86,44.63,-88.04,35.6,6.93
67,Ribeira Grande,20,PT,1571042047,72,38.52,-28.7,59.0,2.24
68,Thompson,90,CA,1571042049,100,55.74,-97.86,33.8,4.7
69,Santa Isabel do Rio Negro,100,BR,1571042050,98,-0.41,-65.02,71.08,0.85
70,Waipawa,100,NZ,1571042051,85,-39.94,176.59,48.99,5.99
71,East London,0,ZA,1571042053,64,-33.02,27.91,73.4,18.34
72,Constitucion,42,MX,1571042054,81,23.99,-104.67,60.01,1.99
73,Castro,0,CL,1571042055,55,-42.48,-73.76,42.8,8.05
74,Cape Town,20,ZA,1571042056,64,-33.93,18.42,71.01,4.7
75,Ciudad Bolivar,35,VE,1571042058,88,8.12,-63.55,74.1,4.25
76,Saravan,0,AM,1571042060,42,39.72,45.65,68.0,6.93
77,Puerto Ayora,2,EC,1571042062,89,-0.74,-90.35,66.99,1.99
78,Peterhead,20,AU,1571042063,72,-34.83,138.5,63.0,8.05
79,Bambous Virieux,40,MU,1571042064,69,-20.34,57.76,80.01,16.11
80,Kaa-Khem,0,RU,1571042066,25,51.7,94.56,52.7,5.08
81,Torbay,90,CA,1571042067,100,47.66,-52.73,46.99,18.34
82,Kaitangata,100,NZ,1571042069,84,-46.28,169.85,51.01,15.01
83,Mar del Plata,0,AR,1571042071,78,-46.43,-67.52,41.72,7.46
84,Clyde River,90,CA,1571042072,74,70.47,-68.59,33.8,18.34
85,Norman Wells,90,CA,1571042073,100,65.28,-126.83,26.6,2.24
86,Tiarei,20,PF,1571042075,69,-17.53,-149.33,75.2,2.24
87,Kodiak,1,US,1571042076,67,39.95,-94.76,39.99,4.7
88,Cidreira,100,BR,1571042077,89,-30.17,-50.22,65.84,24.81
89,Hermanus,67,ZA,1571042079,73,-34.42,19.24,69.01,10.0
90,Qaanaaq,100,GL,1571042080,55,77.48,-69.36,11.37,16.69
91,Port Elizabeth,90,US,1571042081,87,39.31,-74.98,64.0,4.7
92,Salalah,20,OM,1571042083,55,17.01,54.1,87.8,11.41
93,Caravelas,75,BR,1571042084,87,-17.73,-39.27,69.57,2.73
94,Port Lincoln,0,AU,1571042085,76,-34.72,135.86,54.39,7.37
95,Khatanga,100,RU,1571042087,95,71.98,102.47,27.77,13.16
96,Zaoyang,100,CN,1571042088,69,32.12,112.76,62.24,12.23
97,Emerald,0,AU,1571042089,20,-23.53,148.16,93.2,8.05
98,Encruzilhada do Sul,100,BR,1571042091,93,-30.54,-52.52,55.17,17.58
99,Talnakh,100,RU,1571042092,99,69.49,88.39,32.67,6.44
100,Carlsbad,0,CZ,1571042093,77,50.23,12.87,64.0,1.12
101,Gazanjyk,0,TM,1571042095,27,39.24,55.52,66.87,4.0
102,Vanimo,100,PG,1571042096,72,-2.67,141.3,82.13,7.84
103,Busselton,28,AU,1571042098,34,-33.64,115.35,64.0,13.68
104,Altagracia de Orituco,22,VE,1571042099,98,9.86,-66.38,66.18,1.83
105,Oistins,20,BB,1571042100,69,13.07,-59.53,82.4,13.87
106,Mahebourg,40,MU,1571042102,69,-20.41,57.7,80.01,16.11
107,Necochea,68,AR,1571042103,68,-38.55,-58.74,46.99,11.01
108,Havoysund,75,NO,1571042104,86,71.0,24.66,33.8,3.36
109,Rio Claro,0,BR,1571042106,62,-22.41,-47.56,70.68,4.12
110,Saldanha,81,PT,1571042107,69,41.42,-6.55,54.93,15.2
111,Belmonte,27,PT,1571042108,76,40.36,-7.35,55.0,9.28
112,Westonaria,0,ZA,1571042110,36,-26.32,27.65,79.0,3.36
113,Dikson,98,RU,1571042111,98,73.51,80.55,30.33,7.16
114,Lata,64,IN,1571042112,88,30.78,78.62,38.86,6.45
115,Sulangan,99,PH,1571042114,66,11.14,123.72,83.95,7.86
116,Haines Junction,0,CA,1571042115,77,60.75,-137.51,21.54,4.39
117,Honningsvag,99,NO,1571042116,67,70.98,25.97,38.26,3.78
118,Alofi,94,NU,1571042117,78,-19.06,-169.92,73.4,6.93
119,La Ronge,75,CA,1571042119,57,55.1,-105.3,32.0,1.22
120,Zyryanka,100,RU,1571042120,93,65.73,150.89,19.65,33.0
121,Kanashevo,61,RU,1571042121,63,55.21,62.07,51.01,14.0
122,Itapema,75,BR,1571042123,94,-27.09,-48.61,73.0,5.82
123,Kalmunai,26,LK,1571042124,71,7.42,81.82,84.58,9.92
124,Emirdag,0,TR,1571042125,18,39.02,31.15,66.2,4.7
125,Aklavik,90,CA,1571042126,100,68.22,-135.01,23.0,3.36
126,Nikita,97,UA,1571042128,23,44.52,34.24,69.03,5.04
127,Porto Walter,25,BR,1571042130,95,-8.27,-72.74,68.32,1.07
128,Fortuna,90,US,1571042131,93,40.6,-124.16,53.01,3.36
129,New Norfolk,75,AU,1571042132,72,-42.78,147.06,59.0,11.41
130,Roald,0,NO,1571042135,75,62.58,6.12,42.8,5.82
131,Bytow,20,PL,1571042136,72,54.17,17.49,68.0,16.11
132,Husavik,100,CA,1571042138,98,50.56,-96.99,34.0,5.99
133,Kavieng,100,PG,1571042139,67,-2.57,150.8,84.81,5.2
134,Belogorsk,0,RU,1571042140,47,50.92,128.47,29.62,5.71
135,Dawlatabad,97,AF,1571042141,33,36.41,64.91,66.74,7.53
136,Codrington,0,AU,1571042143,72,-28.95,153.24,68.0,14.99
137,San Policarpo,100,PH,1571042144,72,12.18,125.51,82.56,7.92
138,Oranjemund,0,ZA,1571042145,56,-28.55,16.43,67.35,13.11
139,Almaznyy,0,RU,1571042147,47,48.03,40.04,69.4,8.22
140,Najran,40,SA,1571042148,17,17.54,44.22,89.6,9.17
141,Rawson,0,AR,1571042150,63,-43.3,-65.11,44.74,9.67
142,Vostok,95,RU,1571042151,63,46.45,135.83,26.33,7.31
143,Hofn,90,IS,1571042152,75,64.25,-15.21,41.0,9.17
144,Touros,40,BR,1571042154,94,-5.2,-35.46,73.4,3.36
145,Ketchikan,1,US,1571042155,100,55.34,-131.65,44.6,3.22
146,Omboue,100,GA,1571042156,97,-1.57,9.26,73.53,5.11
147,Heishan,0,CN,1571042158,24,41.69,122.12,45.77,7.37
148,Kasongo-Lunda,99,CD,1571042159,52,-6.48,16.82,85.62,2.01
149,Siemiatycze,0,PL,1571042160,69,52.43,22.86,63.0,1.01
150,Laurel,1,US,1571042162,93,39.1,-76.85,57.0,3.3
151,Flinders,67,AU,1571042163,77,-34.58,150.85,66.99,4.7
152,Tuktoyaktuk,100,CA,1571042165,86,69.44,-133.03,29.62,15.74
153,Acari,58,BR,1571042166,80,-6.44,-36.64,70.12,17.19
154,San Vicente,75,EC,1571042167,88,-0.59,-80.41,71.6,4.7
155,Bonthe,79,SL,1571042169,82,7.53,-12.5,79.32,5.03
156,Terre Haute,1,US,1571042170,93,39.47,-87.41,44.01,2.34
157,Katobu,56,ID,1571042171,45,-4.94,122.53,85.14,5.31
158,Mount Gambier,90,AU,1571042172,71,-37.83,140.78,57.2,10.29
159,Geraldton,90,CA,1571042174,96,49.72,-86.95,33.8,9.17
160,Kaohsiung,75,TW,1571042175,62,22.62,120.31,86.0,8.05
161,Eyl,1,SO,1571042177,80,7.98,49.82,80.67,13.01
162,Butaritari,100,KI,1571042178,62,3.07,172.79,85.62,4.5
163,Pangnirtung,2,CA,1571042179,68,66.15,-65.72,23.7,5.94
164,Tiksi,100,RU,1571042181,88,71.64,128.87,17.19,3.76
